variant,variant_label,category,case_id,question,query_terms,hit_at_1,hit_at_3,hit_at_5,mrr,ndcg_at_5,citation_accuracy_at_k,keyword_coverage_at_k,safety_evidence_coverage,latency_ms,top_title,top_filename,top_score,top_vector_score,top_rerank_score,top_keyword_matches,expected_keywords,expected_documents
hybrid_rerank,hybrid + rerank,dtc,dtc_fast_charge_hvil,P1A0C 快充互锁异常怎么排查？,"P1A0C,互锁,快充",1,1,1,1.0,1.0,1.0,1.0,1.0,256247.68,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,0.9981827670513136,0.7943381789721158,0.9981827670513136,"P1A0C,互锁,快充","P1A0C,快充,互锁","快充,HVIL"
hybrid_rerank,hybrid + rerank,symptom,symptom_fast_charge_fail,车辆无法快充，仪表提示充电系统故障，充电桩显示握手失败，优先检查什么？,快充,1,1,1,1.0,1.0,1.0,1.0,,205966.78,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,0.986726699606604,0.7166729996605515,0.986726699606604,快充,"快充,充电系统故障,握手失败","快充,仪表"
hybrid_rerank,hybrid + rerank,symptom,fast_charge_soc_not_rising,快充枪已锁止但 SOC 不上升，BMS 实际电流为 0A，应该怎么定位？,"BMS,SOC,快充",1,1,1,1.0,1.0,1.0,1.0,,203299.46,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,0.9845755058504676,0.7430321727375895,0.9845755058504676,"BMS,SOC,快充","SOC,BMS,0A,快充","快充,BMS"
hybrid_rerank,hybrid + rerank,cross_system,fast_charge_can_dropout,快充握手进入预充后中断，同时充电 CAN 报文计数停滞，可能原因是什么？,"CAN,快充,预充",1,1,1,1.0,1.0,1.0,1.0,,194684.96,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,0.8887399112114854,0.6768116171377354,0.8887399112114854,"CAN,快充","快充,CAN,预充,报文","快充,VCU,CAN"
hybrid_rerank,hybrid + rerank,safety,fast_charge_port_water,雨后快充口进水，仪表报充电系统故障，维修前必须做哪些安全处理？,快充,1,1,1,1.0,1.0,1.0,1.0,1.0,198498.64,新能源汽车典型维修案例库_维修诊断手册.pdf,新能源汽车典型维修案例库_维修诊断手册.pdf,0.9353814232275524,0.6559809446334839,0.9353814232275524,快充,"快充口,进水,安全,高压","快充,事故车,涉水"
hybrid_rerank,hybrid + rerank,dtc,slow_charge_cp_cc_abnormal,P1A11 慢充 CP/CC 信号异常，如何区分慢充枪、慢充座和 OBC 问题？,"P1A11,OBC,慢充",1,1,1,1.0,1.0,1.0,0.8,,194896.36,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,0.9320417774440096,0.7592948222580671,0.9320417774440096,"OBC,慢充","P1A11,慢充,CP,CC,OBC","快充,OBC"
hybrid_rerank,hybrid + rerank,symptom,slow_charge_no_icon,交流慢充插枪后仪表没有充电图标，OBC 也没有工作声，下一步看哪些数据流？,"OBC,慢充",1,1,1,1.0,1.0,1.0,1.0,,207639.8,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,0.8198502034863929,0.7102448689645685,0.8198502034863929,"OBC,慢充","慢充,仪表,OBC,数据流","快充,仪表,OBC"
hybrid_rerank,hybrid + rerank,safety,charge_connector_overheat,快充 10 分钟后端子温度升高且限流，是否可以继续测试？应该检查什么？,快充,1,1,1,1.0,1.0,0.8333333333333334,0.75,1.0,206820.64,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,0.9430677675314438,0.7231836103444373,0.9430677675314438,快充,"快充,端子,温度,限流","快充,热管理"
hybrid_rerank,hybrid + rerank,symptom,charge_lock_status_jump,晃动快充口线束时电子锁状态跳变，故障偶发，应该如何复核？,快充,1,1,1,1.0,0.8854598815714874,0.6666666666666666,1.0,,189345.37,高压互锁HVIL与绝缘故障_维修诊断手册.pdf,高压互锁HVIL与绝缘故障_维修诊断手册.pdf,0.938145683492226,0.6378628637317314,0.938145683492226,快充,"电子锁,快充口,线束,跳变","快充,HVIL"
hybrid_rerank,hybrid + rerank,symptom,charge_pile_connected_only,充电桩只显示已连接但没有输出电流，车辆侧应优先确认哪些阶段？,,1,1,1,1.0,1.0,1.0,1.0,,157171.57,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,0.8595141146927748,0.7044826745986938,0.8595141146927748,,"充电桩,已连接,输出电流,BMS","快充,BMS"
